job_title,company_name,salary_from,salary_to,currencyCode,area,link,source
Backend-разработчик (Python),Крафттех,150000.0,,RUR,Москва,https://hh.ru/vacancy/128468781,hh.ru
"Преподаватель в онлайн-школу (Construct, Python Backend, Unity)",EasyCode,60000.0,90000.0,RUR,Екатеринбург,https://hh.ru/vacancy/128030419,hh.ru
"Преподаватель в онлайн-школу (Construct, Python Backend, Unity)",EasyCode,60000.0,90000.0,RUR,Ростов-на-Дону,https://hh.ru/vacancy/128030421,hh.ru
"Преподаватель IT дисциплин в Компьютерной Академии (С++, Python, г.Домодедово)",Компьютерная академия TOP (Компьютерная Академия ТОП),40000.0,90000.0,RUR,Домодедово (Московская область),https://hh.ru/vacancy/127867372,hh.ru
Middle+ / Senior Backend Developer (Python + SQL),e-Comet,250000.0,350000.0,RUR,Москва,https://hh.ru/vacancy/124463631,hh.ru
"ML / AI Engineer (Python, Junior+, офис)",Гуддело,70000.0,100000.0,RUR,Самара,https://hh.ru/vacancy/128148559,hh.ru
Fullstack разработчик (Python/Django + Node.js),ФАЙНДИЗАЙНГРУПП,200000.0,,RUR,Москва,https://hh.ru/vacancy/128140195,hh.ru
Python-разработчик,НПЦ Астра,100000.0,150000.0,RUR,Уфа,https://hh.ru/vacancy/128376779,hh.ru
Python-разработчик,ИЦ АЙ-ТЕКО,,220000.0,RUR,Москва,https://hh.ru/vacancy/128375878,hh.ru
Python-разработчик,VERBA-group,80000.0,,RUR,Киров (Кировская область),https://hh.ru/vacancy/128001738,hh.ru
Senior Python разработчик,Линсофтверпродакшн,130000.0,200000.0,RUR,Москва,https://hh.ru/vacancy/122493254,hh.ru
Разработчик Python (Middle),Единая Информационная Система ЖКХ,110000.0,150000.0,RUR,Санкт-Петербург,https://hh.ru/vacancy/128443557,hh.ru
Middle Python Developer,STARTER,,200000.0,RUR,Санкт-Петербург,https://hh.ru/vacancy/126925366,hh.ru
Python-разработчик,Аст,50000.0,,RUR,Самара,https://hh.ru/vacancy/128339629,hh.ru
"Преподаватель IT дисциплин в Компьютерной Академии (С++, Python)",Компьютерная академия TOP (Компьютерная Академия ТОП),30000.0,60000.0,RUR,Абинск,https://hh.ru/vacancy/127606064,hh.ru
Преподаватель Питона/Python в колледж,ЭДУТЕХ ГРУПП,,57000.0,RUR,Новосибирск,https://hh.ru/vacancy/127268759,hh.ru
